INDEX,Rank,Institution Name,Country,Classification,,,Academic Reputation,,Employer Reputation,,Faculty Student,,Citations per Faculty,,International Faculty,,International Students,,International Research Network,,Employment Outcomes,,Sustainability,,Overall Score,Web Links
343,342,Sharif University of Technology,"Iran, Islamic Republic of",Medium,Focused,Very High,11.5,601+,33.6,278,5.1,701+,99.9,13,2.9,701+,1.2,701+,61.4,610,28.2,436,1.3,701+,33,http://www.sharif.edu
344,344,Indian Institute of Technology Guwahati (IITG),India,Medium,Comprehensive,Very High,18.8,480,32,295,6.4,701+,97.6,42,2.3,701+,1.2,701+,51.2,701+,4.9,701+,2.2,701+,32.9,https://www.iitg.ac.in
345,344,Tufts University,United States,Large,Full Comprehensive,Very High,16.9,533,7.7,601+,53.5,285,45.7,303,23.5,554,38.1,369,60.2,632,56.1,220,81,151,32.9,https://www.tufts.edu
346,344,University of Oulu,Finland,Medium,Full Comprehensive,Very High,15.1,582,13.5,600,25.3,587,59.4,207,65.3,300,8.6,701+,89.4,175,21.7,528,68.6,226,32.9,https://www.oulu.fi
347,347,Tilburg University,Netherlands,Large,Specialist,Very High,14.7,594,32.5,291,10.5,701+,55.1,229,98.4,114,60.6,245,56.8,667,14.3,685,15.2,590,32.8,https://www.tilburguniversity.edu
348,347,University of Naples - Federico II,Italy,Extra Large,Full Comprehensive,Very High,36.6,236,19.7,461,4.2,701+,65.1,172,2.2,701+,1.1,701+,92.5,129,7.3,701+,20.1,530,32.8,https://www.unina.it
349,349,University of Victoria (UVic),Canada,Large,Comprehensive,Very High,17,530,7.7,601+,3.9,701+,62.5,188,94.7,152,40.9,350,54.2,701+,11.3,701+,82.9,139,32.6,https://www.uvic.ca
350,350,Cairo University,Egypt,Extra Large,Full Comprehensive,Very High,45.8,179,41,229,8.8,701+,3,701+,2.9,701+,7.2,701+,86.4,223,95.5,50,47.2,329,32.5,http://www.cu.edu.eg
351,350,Sciences Po ,France,Large,Specialist,Very High,16.8,535,34.8,271,81.1,125,2.8,701+,52.7,354,97.2,78,31.4,701+,97.7,30,7.2,701+,32.5,https://www.sciencespo.fr
352,352,"City, University of London",United Kingdom,Large,Comprehensive,Very High,20.8,422,21.3,430,5.6,701+,31.2,421,95.8,140,98.9,59,66.4,531,54.8,226,23.2,505,32.4,https://www.city.ac.uk
353,353,National University of Sciences And Technology (NUST) Islamabad,Pakistan,Large,Comprehensive,Very High,20.4,430,71.6,98,68.8,188,14.5,646,4.3,701+,4,701+,73.6,426,2.8,701+,44.9,338,32.3,https://www.nust.edu.pk
354,354,University of Pretoria,South Africa,Extra Large,Full Comprehensive,Very High,23.9,368,48.8,185,4,701+,15.5,629,33.3,474,8.2,701+,98.1,24,80.1,122,79.6,156,32.2,https://www.up.ac.za
355,355,Indiana University Bloomington,United States,Extra Large,Full Comprehensive,Very High,33.4,261,23.6,403,23.3,618,29.1,445,36.3,438,10.8,701+,86.6,221,56.8,213,32.7,424,32.1,https://www.indiana.edu
356,355,University of Coimbra,Portugal,Large,Full Comprehensive,Very High,29.4,301,10.8,601+,10.3,701+,49.8,264,8.1,701+,22.9,504,91.2,154,31.1,404,75.8,181,32.1,https://www.uc.pt
357,355,University of Luxembourg,Luxembourg,Medium,Comprehensive,Very High,9.2,601+,4.5,601+,80.8,128,25.2,495,100,16,100,26,70.1,486,52.8,240,3.1,701+,32.1,https://wwwen.uni.lu
358,358,University of Tartu,Estonia,Medium,Full Comprehensive,Very High,22.9,391,10.5,601+,93.7,71,10.8,701+,48.6,372,15.1,621,88.8,186,85.7,98,18,555,32,https://www.ut.ee
359,359,Gwangju Institute of Science and Technology (GIST),South Korea,Small,Focused,Very High,13.8,601+,9,601+,38.6,409,100,4,18.6,619,8.8,701+,27,701+,2.2,701+,9.9,667,31.9,https://www.gist.ac.kr
360,359,Pontificia Universidad Católica del Perú,Peru,Large,Focused,Very High,48.4,169,61.6,132,33.2,475,1.6,701+,4,701+,1.3,701+,38.1,701+,33,385,29.6,447,31.9,https://www.pucp.edu.pe
361,359,University of Aveiro,Portugal,Large,Comprehensive,Very High,13.9,601+,5.6,601+,11.1,701+,90.6,73,4.2,701+,15.3,617,89,183,2.7,701+,57.7,276,31.9,https://www.ua.pt
362,362,Sultan Qaboos University,Oman,Medium,Full Comprehensive,Very High,18.6,484,17.1,503,55.6,269,21.9,533,100,72,3.2,701+,78.8,340,51.5,247,55.4,285,31.7,https://www.squ.edu.om
363,362,Xiamen University,China (Mainland),Extra Large,Full Comprehensive,Very High,23.6,372,16.2,526,19,701+,72.2,146,5.1,701+,3.1,701+,62.6,594,46,277,15.4,585,31.7,https://www.xmu.edu.cn
364,362,York University,Canada,Extra Large,Comprehensive,Very High,22.7,394,18.6,476,3.9,701+,22.6,524,53.1,353,78.7,176,65.5,548,76.3,136,86.5,118,31.7,https://www.yorku.ca
365,365,Saint Petersburg State University,Russia,Large,Full Comprehensive,Very High,36.3,238,30.5,309,59.4,247,4.6,701+,4.9,701+,38.9,360,83.9,263,71.7,150,3.2,701+,31.6,https://english.spbu.ru
366,365,University of Illinois at Chicago (UIC),United States,Large,Full Comprehensive,Very High,38.5,223,28.3,336,31.1,505,23.3,518,8,701+,19.3,560,83.8,265,30.5,414,34.8,406,31.6,https://www.uic.edu
367,367,Westfälische Wilhelms-Universität Münster ,Germany,Large,Full Comprehensive,Very High,31.6,281,22.8,412,64.5,208,10,701+,30.5,490,4.5,701+,82,290,35.8,354,66.8,234,31.5,https://www.uni-muenster.de
368,368,Mahidol University,Thailand,Large,Full Comprehensive,Very High,44.1,192,21.8,424,81.1,126,4.7,701+,4.9,701+,4.2,701+,57.2,659,9.8,701+,57.7,276,31.4,https://www.mahidol.ac.th
369,368,University of Jordan,Jordan,Extra Large,Full Comprehensive,High,32.9,268,46.7,197,19.5,685,3.5,701+,21.2,585,43.5,331,67,521,82.1,110,39.5,371,31.4,https://www.ju.edu.jo
370,368,University of Tehran,"Iran, Islamic Republic of",Extra Large,Comprehensive,Very High,20.6,429,26.8,357,3,701+,79.1,115,2,701+,2,701+,86.2,231,23.1,494,4.7,701+,31.4,https://ut.ac.ir
371,371,George Washington University,United States,Large,Full Comprehensive,Very High,25.2,351,28.8,331,27.3,555,27.5,471,24.6,542,34.4,394,79.5,333,74.5,142,27.3,468,31.3,https://www.gwu.edu
372,371,Lincoln University ,New Zealand,Small,Comprehensive,Very High,8.2,601+,5,601+,31.8,496,52.1,249,100,61,96.3,88,20.2,701+,40,320,48.9,324,31.3,https://www.lincoln.edu
373,371,Universitat Politècnica de Catalunya · BarcelonaTech (UPC),Spain,Large,Comprehensive,Very High,31.8,277,27.7,347,38.9,404,16.7,609,10.1,701+,19.8,544,85.3,242,26.3,450,82.5,143,31.3,https://www.upc.edu
374,371,University of Turin,Italy,Extra Large,Full Comprehensive,Very High,41.5,205,7.2,601+,3.2,701+,33.3,398,4.1,701+,5.3,701+,87.5,204,51.7,245,83.6,132,31.3,https://www.unito.it
375,375,University of Florence,Italy,Extra Large,Full Comprehensive,Very High,34.6,255,8.4,601+,4.4,701+,46.6,295,7.3,701+,12.3,671,88.5,189,30.3,415,74.5,193,31.2,https://www.unifi.it
376,375,University of Turku,Finland,Large,Full Comprehensive,Very High,27.8,317,12.1,601+,52.3,291,29.3,442,33.2,477,4.4,701+,86.3,229,39.9,321,52.5,302,31.2,https://www.utu.fi
377,377,Nankai University,China (Mainland),Extra Large,Full Comprehensive,Very High,18.5,492,9.8,601+,25.4,584,82.9,101,12.3,701+,2.7,701+,51.1,701+,37.9,340,11.5,632,31.1,https://www.nankai.edu.cn
378,377,Pontificia Universidad Javeriana,Colombia,Large,Full Comprehensive,High,45.3,184,56.6,145,26.3,568,1.6,701+,3.4,701+,2.5,701+,42.2,701+,78.3,127,11.3,636,31.1,https://www.javeriana.edu.co
379,377,University of Tsukuba,Japan,Large,Full Comprehensive,Very High,36.6,237,22.5,416,54.7,278,17.3,594,12.4,701+,19.3,561,66.9,525,9.8,701+,63.4,249,31.1,https://www.tsukuba.ac.jp
380,380,Technische Universität Bergakademie Freiberg,Germany,Small,Focused,Very High,4.9,601+,4.8,601+,3.5,701+,99.1,24,41.4,414,100,25,41.6,701+,1.9,701+,1.1,701+,30.8,https://tu-freiberg.de
381,380,University of Kent,United Kingdom,Large,Comprehensive,Very High,15.4,571,10,601+,14.6,701+,45.7,301,95.1,147,49.8,296,78.8,339,34,372,40.4,363,30.8,https://www.kent.ac.uk
382,382,University of Pisa,Italy,Large,Full Comprehensive,Very High,40.4,212,15.1,556,8.6,701+,38.8,359,5.9,701+,4.2,701+,88.3,193,15,665,56.7,281,30.7,https://www.unipi.it
383,383,Anna University,India,Large,Specialist,Very High,10,601+,12,601+,5.5,701+,100,2,na,na,1.3,701+,89.2,181,5.9,701+,24.7,491,30.6,https://www.annauniv.edu
384,384, Western Sydney University,Australia,Extra Large,Full Comprehensive,Very High,19.9,445,14.2,579,4.8,701+,31,425,100,53,45.5,323,87.4,208,8.9,701+,89.2,101,30.5,https://www.westernsydney.edu.au
385,385,South China University of Technology,China (Mainland),Extra Large,Comprehensive,Very High,12.1,601+,6.6,601+,20,673,97.8,36,10.7,701+,4.6,701+,51.3,701+,27.3,439,7.3,701+,30.4,https://www.scut.edu.cn
386,385,Universiti Brunei Darussalam (UBD),Brunei,Small,Comprehensive,Very High,20.2,438,8.8,601+,92.9,73,9.9,701+,100,62,46.5,318,35.4,701+,56.5,217,12.7,615,30.4,https://www.ubd.edu.bn
387,387,Belarusian State University,Belarus,Large,Comprehensive,High,28.4,308,40.7,230,93,72,1.3,701+,3.8,701+,59.3,250,36.4,701+,38.2,338,1,701+,30.3,http://www.bsu.by
388,388,Universidade Nova de Lisboa,Portugal,Large,Full Comprehensive,Very High,28.7,305,21.8,425,15.9,701+,23.9,509,25.3,528,57,260,86.3,227,48.7,264,38.2,384,30.2,https://www.unl.pt
389,389,Università Vita-Salute San Raffaele,Italy,Small,Specialist,Very High,3.3,601+,1.8,601+,94.4,66,88.5,80,4.4,701+,4.3,701+,39.2,701+,2.1,701+,1.2,701+,30.1,https://www.unisr.it
390,389,University of Cyprus (UCY),Cyprus,Medium,Comprehensive,Very High,10,601+,4.7,601+,4.5,701+,75,135,93.8,162,20,541,73.4,429,42.1,308,5.8,701+,30.1,https://www.ucy.ac.cy
391,389,Virginia Polytechnic Institute and State University,United States,Extra Large,Full Comprehensive,Very High,26.4,336,26.2,364,18.9,701+,28.4,459,71.8,277,16.5,594,82.6,282,24,471,34.8,406,30.1,https://www.vt.edu
392,392,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,Medium,Focused,Very High,27.6,320,37.9,248,43.5,358,29.4,439,19.7,603,25.5,471,29.8,701+,19.9,563,38.8,379,30,https://www.ntust.edu.tw
393,393,National and Kapodistrian University of Athens,Greece,Extra Large,Full Comprehensive,Very High,26.7,329,33.2,283,2.1,701+,31,426,9.9,701+,15.9,609,86.6,222,85.8,96,29.3,451,29.9,https://en.uoa.gr
394,393,"University of California, Santa Cruz",United States,Large,Comprehensive,Very High,17.7,512,5.9,601+,7.4,701+,65.3,170,53.4,348,7,701+,64.5,566,6.1,701+,83.6,132,29.9,https://www.ucsc.edu
395,393,University of Rome (Tor Vergata),Italy,Large,Comprehensive,Very High,31.3,285,15.4,547,9,701+,47.2,287,9.6,701+,30.8,422,69.1,495,6.3,701+,57.7,276,29.9,https://www.uniroma2.it
396,396,Northeastern University,United States,Extra Large,Comprehensive,Very High,19.2,470,11.8,601+,15.4,701+,24.6,501,51.6,360,96.4,85,67.3,516,44,291,72.3,205,29.7,https://www.northeastern.edu
397,396,Ruhr-Universität Bochum,Germany,Extra Large,Full Comprehensive,Very High,20.3,437,8.8,601+,2.5,701+,53.4,240,48.8,371,39.3,358,87.3,209,16.2,632,53.5,295,29.7,https://www.ruhr-uni-bochum.de
398,396,Sejong University ,South Korea,Large,Comprehensive,Very High,10.8,601+,16.1,528,11.9,701+,76.9,127,23.8,551,31.2,418,64.1,570,1.8,701+,45.9,336,29.7,https://www.sejong.ac.kr
399,396,Université de Liège,Belgium,Large,Full Comprehensive,Very High,17,531,11.8,601+,9.6,701+,38,365,50.3,364,53,277,94.6,86,23.6,478,81.2,148,29.7,https://www.uliege.be
400,396,University of Southern Queensland ,Australia,Medium,Comprehensive,Very High,8.8,601+,5.7,601+,4.8,701+,73.1,143,84.1,223,23,503,81,310,8.6,701+,43,353,29.7,https://www.usq.edu.au
401,401,Kazan (Volga region) Federal University,Russia,Large,Full Comprehensive,Very High,23.6,373,11.4,601+,95.6,58,2.4,701+,10.2,701+,95.7,93,88.3,191,15.4,647,22.2,513,29.6,https://kpfu.ru
402,401,Koç University,Turkey,Medium,Full Comprehensive,Very High,24.3,359,54.6,155,19.1,697,32.4,407,24.7,540,13,659,51.6,701+,6.8,701+,34.8,406,29.6,https://www.ku.edu.tr
403,403,Amirkabir University of Technology,"Iran, Islamic Republic of",Medium,Focused,Very High,5.2,601+,20.5,445,4.6,701+,100,7,24.6,543,2.8,701+,70.2,483,5.8,701+,1.6,701+,29.5,https://aut.ac.ir
404,403,University of Canberra ,Australia,Medium,Comprehensive,Very High,14.3,601+,7.7,601+,2.4,701+,51.2,255,79.6,243,69.4,213,63.1,583,5.6,701+,70.9,217,29.5,https://www.canberra.edu.au
405,405,Institut National des Sciences Appliquées de Lyon (INSA),France,Medium,Focused,Very High,7.4,601+,28.7,334,33.7,469,60.6,201,29.2,500,58.3,254,59.5,638,14.4,680,2.4,701+,29.3,https://www.insa-lyon.fr
406,405,Satbayev University,Kazakhstan,Medium,Focused,Very High,27.8,318,43.4,211,88.1,94,1.2,701+,66.7,296,16.9,588,15,701+,23.6,477,3.8,701+,29.3,https://satbayev.university
407,405,USI - Università della Svizzera italiana,Switzerland,Small,Focused,Very High,6.1,601+,4.6,601+,73.5,176,40.7,343,100,34,100,13,39.3,701+,2.1,701+,1.1,701+,29.3,https://www.usi.ch
408,408,"Birkbeck, University of London",United Kingdom,Medium,Comprehensive,Very High,10,601+,3.6,601+,15.6,701+,57.1,218,97.7,123,99.5,46,55.5,686,8.8,701+,7.7,701+,29.1,https://www.bbk.ac.uk
409,408,Masaryk University,Czech Republic,Extra Large,Comprehensive,Very High,23.5,376,31.7,298,9.5,701+,13.8,656,27.6,513,66.7,223,80.2,318,36,352,79.1,161,29.1,https://www.muni.cz
410,410,HSE University,Russia,Extra Large,Comprehensive,Very High,24,366,38.4,246,84.8,105,1.8,701+,6.6,701+,13.5,652,83.6,271,13,701+,44.6,343,29,https://www.hse.ru
411,410,The American University in Cairo,Egypt,Medium,Comprehensive,Very High,32.1,274,31.1,301,35.5,444,5.2,701+,97,130,3.8,701+,29.4,701+,75.6,138,14.6,597,29,https://www.aucegypt.edu
412,412,Auckland University of Technology (AUT),New Zealand,Large,Comprehensive,Very High,19.3,464,11.2,601+,10.6,701+,21.7,536,100,64,99.8,42,52.6,701+,12.4,701+,72.6,202,28.9,https://www.aut.ac.nz
413,413,Graz University of Technology,Austria,Medium,Focused,Very High,14.7,590,15.7,545,98.9,40,11.1,701+,81.8,232,59.7,247,59.9,634,11.9,701+,2.8,701+,28.8,https://www.tugraz.at/en
414,413,Yeshiva University,United States,Small,Full Comprehensive,High,3.1,601+,2.8,601+,65.3,202,91.6,71,31.4,488,13.5,651,6.6,701+,3,701+,15.8,583,28.8,https://www.yu.edu
415,415,Concordia University,Canada,Extra Large,Comprehensive,Very High,15.8,559,11.4,601+,3.3,701+,17.5,590,87.4,208,92.3,104,73.8,423,43.6,294,89.8,96,28.7,https://www.concordia.ca
416,416,Oxford Brookes University,United Kingdom,Large,Comprehensive,High,30.7,289,37.6,250,13.7,701+,7,701+,67.5,291,67.4,220,68.4,508,20.5,554,13.2,606,28.6,https://www.brookes.ac.uk
417,416,Technion - Israel Institute of Technology,Israel,Large,Full Comprehensive,Very High,23.9,369,24.8,385,52,293,20.1,555,74.2,266,4.3,701+,59.1,641,35.3,359,15,592,28.6,https://www.technion.ac.il/en
418,418, University of Dundee,United Kingdom,Large,Full Comprehensive,High,18.4,494,13.7,590,30.8,512,14,654,91.1,185,89.4,126,75.2,405,7.4,701+,55.4,285,28.5,https://www.dundee.ac.uk
419,418,Bogaziçi University,Turkey,Large,Comprehensive,High,24.9,353,65.3,118,4.1,701+,10.7,701+,10.7,701+,2.6,701+,46.8,701+,84.9,102,46.2,334,28.5,https://www.boun.edu.tr
420,420,Czech Technical University in Prague,Czech Republic,Large,Specialist,Very High,22,404,42.4,217,80.6,129,3.6,701+,19.9,598,50.2,293,59.4,639,15.6,642,5.8,701+,28.4,https://www.cvut.cz/en
421,421,Dublin City University,Ireland,Large,Full Comprehensive,High,20.1,441,26,366,25.8,577,10.7,701+,75,265,22.6,508,75.4,401,35.3,358,82.5,143,28.3,https://www.dcu.ie
422,421,University of Limerick,Ireland,Large,Full Comprehensive,High,18.3,497,25.5,371,15.7,701+,23,520,87.1,209,30.8,421,72.5,447,8,701+,76.4,176,28.3,https://www.ul.ie
423,423,Aston University,United Kingdom,Large,Comprehensive,Very High,12.5,601+,18.5,478,9,701+,34.4,388,94.2,160,53.8,274,79.2,336,19.6,569,46.9,330,28.1,https://www.aston.ac.uk
424,423,Université Laval,Canada,Large,Full Comprehensive,Very High,19.2,468,8.1,601+,26,572,23.8,512,55.8,336,41.6,344,80.2,317,36.4,349,78.4,166,28.1,https://www.ulaval.ca
425,425,National Taipei University of Technology,Taiwan,Medium,Focused,Very High,13.9,601+,54.7,154,24.3,602,41.6,334,19.8,602,20.6,531,21.3,701+,22.5,509,31.3,435,28,https://www.ntut.edu.tw
426,426,IPB University (a.k.a. Bogor Agricultural University),Indonesia,Large,Focused,Very High,23.5,375,46.9,196,71.4,186,1.8,701+,53.2,351,3.6,701+,19.1,701+,33.9,373,35.1,403,27.9,https://www.ipb.ac.id
427,426,Leibniz University Hannover,Germany,Large,Comprehensive,Very High,21.2,415,32,293,17.9,701+,17.4,591,46.3,388,26.9,455,78.5,347,14.5,676,82.1,146,27.9,https://www.uni-hannover.de/en
428,428,Julius-Maximilians-Universität Würzburg,Germany,Large,Full Comprehensive,Very High,15.8,560,7,601+,5.5,701+,74.4,136,45,396,9.5,701+,78.5,348,8.7,701+,8.8,692,27.8,https://www.uni-wuerzburg.de
429,428,Southeast University,China (Mainland),Extra Large,Full Comprehensive,Very High,13.5,601+,6.6,601+,20.8,658,82,102,14.4,675,3.4,701+,69.2,494,5,701+,11.6,629,27.8,https://www.seu.edu.cn
430,430,University of Science and Technology Beijing,China (Mainland),Large,Comprehensive,Very High,11.8,601+,4.2,601+,10.2,701+,99.4,21,3.1,701+,2.8,701+,56.8,668,4.9,701+,3.6,701+,27.7,https://www.ustb.edu.cn
431,431,Central South University,China (Mainland),Extra Large,Focused,Very High,8.6,601+,4.1,601+,5.5,701+,99.7,15,6.4,701+,4,701+,67.5,515,14.1,689,3.9,701+,27.6,https://www.csu.edu.cn
432,431,Tomsk State University,Russia,Medium,Comprehensive,Very High,22,403,13.5,601+,99,36,4.2,701+,21.6,574,91.6,113,64.1,571,4.4,701+,1.4,701+,27.6,https://en.tsu.ru
433,431,University of Granada,Spain,Extra Large,Full Comprehensive,Very High,44.4,191,14.1,581,5.7,701+,26.2,482,3.1,701+,14.8,628,96.3,52,4.9,701+,26.3,478,27.6,https://www.ugr.es
434,477,Ajman University,United Arab Emirates,Small,Focused,Very High,17.3,521,42.2,221,9.6,701+,3.2,701+,100,6,100,3,48.4,701+,9.8,701+,1.4,701+,25.1,https://www.ajman.ac.ae
435,435,IE University,Spain,Medium,Focused,High,8.1,601+,49.3,182,46.5,328,2.2,701+,95.2,145,100,4,3.5,701+,65.6,176,4.6,701+,27.4,https://www.ie.edu
436,436,Iran University of Science and Technology,"Iran, Islamic Republic of",Large,Focused,Very High,7.8,601+,14,584,2.7,701+,98.7,31,12,701+,1.5,701+,53.4,701+,5.3,701+,1.6,701+,27.2,https://www.iust.ac.ir
437,436,Murdoch University,Australia,Medium,Comprehensive,Very High,8,601+,4.5,601+,5.2,701+,57.3,216,85.6,216,73.9,194,74.9,410,14.8,668,11.3,636,27.2,https://www.murdoch.edu.au
438,436,Universitat Politècnica de València,Spain,Large,Comprehensive,Very High,26.5,335,16.3,521,36.1,440,19.7,559,5.5,701+,25,479,84.9,248,11.7,701+,76.1,178,27.2,https://www.upv.es
439,439,Vilnius University ,Lithuania,Large,Full Comprehensive,High,19.1,472,23.5,405,74.7,168,3.3,701+,12.4,701+,13.6,649,75.5,398,83.7,105,27.1,471,27.1,https://www.vu.lt
440,440,Singapore University of Technology and Design,Singapore,Small,Specialist,Very High,7.4,601+,5.3,601+,99,37,66,168,na,na,na,na,31.2,701+,4.6,701+,1.1,701+,27,https://www.sutd.edu.sg
441,440,Università degli Studi di Pavia,Italy,Large,Full Comprehensive,Very High,21.7,406,7.4,601+,8.3,701+,64.6,173,6.2,701+,12.6,666,82.7,281,13.5,701+,15.4,585,27,https://www.unipv.eu
442,442,Colorado State University,United States,Large,Comprehensive,Very High,18.3,498,20.4,447,60.9,236,17.1,599,18.5,621,3.7,701+,78.4,351,22.2,517,70.9,217,26.8,https://www.colostate.edu
443,442,Novosibirsk State University,Russia,Medium,Comprehensive,Very High,24.7,354,18.4,480,91,81,9.5,701+,6.3,701+,57,259,56.5,671,5.8,701+,5.3,701+,26.8,https://english.nsu.ru
444,442,Università Cattolica del Sacro Cuore,Italy,Large,Focused,Very High,24.2,360,35.5,267,27.6,552,19.2,567,15.5,661,7.1,701+,60.5,628,32.3,393,54.8,289,26.8,https://www.unicatt.it
445,445,James Cook University,Australia,Medium,Full Comprehensive,Very High,14.4,601+,6.5,601+,17.5,701+,46.9,292,36.7,434,16,607,76,389,6.7,701+,88.9,103,26.7,https://www.jcu.edu.au
446,445,Justus-Liebig-University Giessen,Germany,Large,Full Comprehensive,Very High,12.7,601+,5.9,601+,1.9,701+,79.3,113,14.2,679,18.8,569,83.9,264,10.5,701+,11,644,26.7,https://www.uni-giessen.de/en
447,445,Universitat de Valencia,Spain,Extra Large,Full Comprehensive,Very High,35.6,246,11,601+,12,701+,19.9,557,2.1,701+,24.3,484,89.3,180,8.4,701+,79.3,159,26.7,https://www.uv.es/
448,448,Dalian University of Technology,China (Mainland),Extra Large,Comprehensive,Very High,9.6,601+,3.8,601+,18.1,701+,88.1,82,11.5,701+,2.9,701+,55.9,680,14.4,678,8,701+,26.6,http://www.dlut.edu.cn/
449,448,Hunan University ,China (Mainland),Extra Large,Comprehensive,Very High,7.9,601+,10.3,601+,15.2,701+,90.6,74,4.6,701+,1.8,701+,46.5,701+,23.1,495,2.7,701+,26.6,http://www.hnu.edu.cn/
450,448,Université de Montpellier,France,Extra Large,Focused,Very High,18.6,486,3.4,601+,8.5,701+,57.2,217,22.8,562,29.9,431,99.5,6,13.1,701+,17.3,561,26.6,https://www.umontpellier.fr/
451,451,University of Electronic Science and Technology of China,China (Mainland),Extra Large,Focused,Very High,5.3,601+,5,601+,8.2,701+,99.1,25,3.2,701+,2.5,701+,73.3,433,7.2,701+,2.3,701+,26.5,https://www.uestc.edu.cn/
452,452,Beihang University (former BUAA),China (Mainland),Large,Comprehensive,Very High,12.1,601+,7.8,601+,41.5,375,72.1,147,7,701+,4.5,701+,51.2,701+,12.8,701+,4.3,701+,26.4,http://www.buaa.edu.cn/
453,452,National Taiwan Normal University,Taiwan,Medium,Comprehensive,Very High,34.7,254,20.5,444,62.9,219,5.4,701+,14.5,673,25.2,478,23.3,701+,17.3,612,49.8,319,26.4,https://www.ntnu.edu.tw/
454,452,University of Kansas,United States,Large,Full Comprehensive,Very High,14.4,601+,12.6,601+,86.7,99,9.2,701+,60.3,322,7.2,701+,84.6,255,28.2,435,32.4,427,26.4,https://www.ku.edu/
455,452,University of Stirling,United Kingdom,Medium,Comprehensive,Very High,11.2,601+,9.4,601+,9.3,701+,30.3,436,76.9,253,81.3,168,61.6,606,15.8,638,76.1,178,26.4,https://www.stir.ac.uk/
456,456,Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),Russia,Medium,Focused,Very High,16.6,541,23.6,404,94.6,64,12,692,31.1,489,45.5,324,41.7,701+,17.6,605,1,701+,26.3,https://mipt.ru/
457,456,Umea University,Sweden,Large,Full Comprehensive,Very High,19.9,447,11.6,601+,71.8,182,15.2,631,51.1,362,21.8,518,78,360,9,701+,26.3,478,26.3,https://www.umu.se/
458,456,Université de Strasbourg,France,Extra Large,Full Comprehensive,Very High,39.1,219,10.3,601+,5.1,701+,20.7,549,34.2,469,35.9,384,90.7,161,20.4,558,5.4,701+,26.3,https://www.unistra.fr/
459,456,University of Guelph,Canada,Large,Comprehensive,Very High,12.8,601+,12.8,601+,5,701+,50.1,261,46.4,385,14.3,636,65.2,552,11.2,701+,82.9,139,26.3,https://www.uoguelph.ca/
460,460,"Stony Brook University, State University of New York",United States,Large,Full Comprehensive,Very High,18,504,7.3,601+,32.2,489,23.6,515,34.7,462,43.5,332,76,390,21.2,541,79.1,161,26.2,https://www.stonybrook.edu/
461,461,Universidad de Santiago de Chile (USACH),Chile,Large,Full Comprehensive,High,43.4,195,55,152,7.2,701+,4.2,701+,6.3,701+,2.2,701+,51.1,701+,12.7,701+,11.2,642,26.1,https://www.usach.cl/
462,462,Tampere University,Finland,Large,Full Comprehensive,Very High,21.7,407,15.4,548,20.4,662,33.1,400,44.5,398,5.9,701+,84.8,251,30.8,409,23,508,26,https://www.tuni.fi/
463,462,Universidad de Sevilla,Spain,Extra Large,Full Comprehensive,Very High,39.1,221,12.6,601+,18.4,701+,8.2,701+,3.5,701+,18.9,567,91.4,152,16,634,67.4,231,26,https://www.us.es/
464,464,Macau University of Science and Technology,Macau SAR,Large,Comprehensive,Very High,4.4,601+,3.4,601+,3.9,701+,56.4,222,100,23,100,1,26.2,701+,29.5,423,11.3,636,25.9,https://www.must.edu.mo/
465,465,Kobe University,Japan,Large,Full Comprehensive,Very High,28.4,309,33.2,281,43.9,356,11.4,701+,7,701+,5.6,701+,55,698,15,662,49.8,319,25.8,https://www.kobe-u.ac.jp/en/
466,466,Universität Konstanz,Germany,Medium,Comprehensive,Very High,18.3,495,10.5,601+,37.8,421,18.3,578,85.9,215,14.5,634,66.1,537,13.1,701+,63.1,250,25.7,https://www.uni-konstanz.de/
467,466,Universitat Ramon Llull,Spain,Large,Comprehensive,High,11,601+,52,167,8.7,701+,8.1,701+,93.6,164,43.1,336,32.6,701+,71.7,149,20.1,530,25.7,https://www.url.edu/
468,466,University at Buffalo SUNY,United States,Large,Full Comprehensive,Very High,18,503,10.7,601+,8.8,701+,33.6,393,20.1,596,36.9,380,68.6,504,33.3,383,82.5,143,25.7,https://www.buffalo.edu/
469,466,Washington State University,United States,Large,Full Comprehensive,Very High,23.3,379,20,452,15.5,701+,33.5,396,47.1,379,5,701+,77.3,373,8.6,701+,29.6,447,25.7,https://wsu.edu/
470,470,Iowa State University,United States,Large,Comprehensive,Very High,20.7,425,12,601+,9.1,701+,47.9,280,7.5,701+,12.5,667,77.3,374,32.9,388,31.3,435,25.6,https://www.iastate.edu/
471,471,Ben-Gurion University of The Negev,Israel,Large,Full Comprehensive,Very High,14.4,601+,14.5,569,11.1,701+,51.7,253,64,304,14.3,635,64.9,558,16.3,630,11.8,623,25.5,https://in.bgu.ac.il/
472,472,"Essex, University of",United Kingdom,Large,Comprehensive,Very High,15.5,568,5.2,601+,12.7,701+,22.6,523,99.8,93,98.6,62,75.1,408,14,693,13.2,606,25.3,https://www.essex.ac.uk/
473,472,Johannes Kepler University Linz,Austria,Medium,Focused,Very High,12.8,601+,12.3,601+,75.9,162,14.3,649,83.5,226,33.5,402,59.7,636,12.2,701+,13.2,606,25.3,https://www.jku.at/en/
